"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id"
"174",0.566,0.459,1,-9.488,1,0.0289,0.327,0.000253,0.202,0.151,116.916,"2w3eXFL86RgxGtDr8bzwgK"
"175",0.466,0.882,4,-8.962,0,0.0442,0.0224,0.0264,0.342,0.502,132.086,"1BBtng1KOF0JuC6bSNgGmp"
"176",0.5,0.844,10,-5.883,1,0.0368,0.0228,0.00398,0.455,0.445,123.721,"4Tw9JYF9HOuPRyccNWMgwf"
"177",0.265,0.378,11,-10.823,1,0.0316,0.0557,1.29e-06,0.119,0.153,142.1,"2u2WL5N3KnQnykOZi3fxL6"
"178",0.194,0.464,8,-6.895,1,0.0322,0.0267,0.0736,0.314,0.053,160.359,"6kevl5fnM7GRJ2K2rBBnxq"
"179",0.607,0.395,0,-9.593,1,0.0287,0.61,0.00768,0.33,0.274,115.068,"1wQXj5bgxyZQ2XmE2X9s6n"
"180",0.159,0.585,5,-6.741,0,0.0333,0.242,0.254,0.965,0.0606,170.961,"110a2YFVoGswehZi2kkVpp"
"181",0.461,0.662,1,-7.211,0,0.0326,0.0333,0.00175,0.981,0.183,126.452,"6R2ZKXEdEEYXiODsC9Fr4L"
"182",0.213,0.526,5,-8.018,1,0.0319,0.227,0.00218,0.36,0.0621,137.834,"5KFf0D8pLy4mzIlaJeV57P"
"183",0.401,0.883,2,-6.508,1,0.0459,0.0168,0.0318,0.831,0.291,133.914,"0bQQv5RqwLmOKNaMcfJ1If"
"184",0.351,0.343,4,-13.219,1,0.0369,0.95,0.000258,0.936,0.131,77.392,"4o0q6U6VX4a0VTZ06GOxg2"
"185",0.255,0.686,4,-6.532,1,0.0399,0.0296,1.08e-05,0.948,0.137,115.075,"4CCr8SvmOrHpPKeA5e0ogE"
"186",0.282,0.424,9,-9.012,1,0.0279,0.65,0.107,0.987,0.0505,135.875,"7IWbp0yWEF8nNjMLbKF0pU"
"187",0.461,0.619,4,-7.471,1,0.0284,0.45,0.272,0.923,0.164,128.958,"1n7a6D28s08972ImtPtaxX"
"188",0.265,0.674,11,-7.48,1,0.0324,0.0458,0.000141,0.724,0.187,171.366,"6cR5WracqJzYoH80lSKW0L"
"189",0.493,0.727,5,-6.857,0,0.0324,0.608,0.0206,0.376,0.114,130.794,"3cYgC50pVnjPKuh6b0xmZk"
"190",0.202,0.673,9,-7.075,1,0.036,0.00772,0.000232,0.926,0.136,143.656,"3osu6FKSmLJJmqnRw5R90G"
