"x"
"Tell your name please"
"Thank you and best luck for you in the futurethough we never may meet I wish you the best wishes"
"Same for your future"
" mu mu cent "
"Yo secs ago"
"Bruh its still "
"Me"
"Me at in "
"Bro it is joke"
"It is next year is "
""
"I am form "
"Your father"
"Since the time when the world has already come to an end only this song saves me from selfmiscarriage from the window"
"Bro has time machine"
"Nobody laughing out loud"
"What"
"I am "
"This is only"
"My soul"
"Wish if it was trueMuktadir"
"cent"
"This comment is so old bro its "
"abel joe mama"
"Me"
"Here"
"Sup"
"Ok Ustad KARISHNA KUMAR YADAF SHARMA"
"Lan is present"
"No one asked and no one cares"
"Huh"
"Mashallah"
"they are not Indians you buffoon"
"Stinks in here"
""
"Nice song"
"CallsignGhostwe were taught by our parents that foreign people are well disciplined and educated but after seeing these type of comments I think they said wrong Bro youtube has given everyone access to write comments so who tf will go and ask your mom what should heshe should comment Shame on you people"
"Hi song"
"Yo"
""
"Here"
"Miss Love u from India"
"Cry harder turkey and Pakistan beggar"
"Yes turkey and Pakistan people are fool from birth"
"No in "
"Love from India"
"Nice joke that is why no one respects your culture terrorists"
"Nope you adopted arabic culture"
"Machismo hahaha no one adopt terrorists culture like your"
""
"Kazama"
"here"
""
"Always"
"I am from Trinidad and Tobago"
"registered trademark mu "
"India cent"
"Yo"
"Me"
"Me"
"Yeah wsg"
"Favorite to ng baby ko eh hahaha"
"Present"
"Yes"
"Me"
"Me bro"
"Me cent"
"barbie gi"
"Me"
"Im here may"
"Yo es ta chida la cancion"
"Me"
"Me"
"Gang"
"Me"
NA
"Hear"
"ada bng"
"Perfect song forever for motive your entire life"
NA
"Bkl abhi toh may chlra"
"it is still May Buddy"
"it is may bros living in the future"
"Todavia estamos mayo no te adelantes tanto xd"
"What is the meaning of your words "
"Love Messi and Argentina from India"
"Yes"
"Gojos return gets cancelled"
"Me"
""
"Me"
"Uh huh"
"But it is still bro"
"Iam nigga"
"Yo"
"no"
"Me"
"Yep"
"mhm definitly"
"no one sure about that"
"Me"
NA
"Me"
"Me on "
"U stuck on Too slow I am in "
"kartikeya"
"Next earr"
"The fact that Bollywood has made thousands of songs on Hinduism which you play during festivals and you say all of them are liberals while a white guy made a song which has India in its background made you believe he loves India and Indian cultureshows why we were under britisher for such a long time"
"Rest you can only show me example of Hollywood appreciating India and Hindu scriptures and I will show you thousands of examples where they have disrespected our scriptureslike recent Oscar winner Oppenheimer"
"Vorp"
"me"
"Kolkata"
"En realidad es nuestra"
"La llevare dentro de mi la cancion y a ti"
"it is cultural appreciation"
NA
"HappyPotato and Also no need to call it pagan grounds and idol worshippers as that is their culture"
NA
"HappyPotato how does it take away"
"Me"
"Me"
"Why"
"People just want something to be offended by"
"may cent"
"Yeah me registered trademark"
"Beyonce"
""
"Hello"
""
"I"
NA
"Yo aqui y sintiendome asi"
""
"Im From india bro"
"yug i had to translate"
"Felipegamerpley oo"
"yep"
"Hi"
"Me"
""
"Mei "
"Me"
"Hey"
" months late buddy"
"Me"
"Yeh"
"Yap"
"Me"
""
"Hfransfundiyana"
""
NA
"Me"
"Me"
"Yey"
"Yey"
"Yes"
"Yes bro"
"Me"
"Present"
"Me"
"Forever"
"Man Cmon Forever on the playlist"
"Me"
"Hum Indians hi sunty hai kya ye song zada"
"UwU me"
"Me"
"Caraca Dias De Diferenca"
"Uleon same time"
"Me first time"
"Yessir"
"Hey amigo"
"Me Upper Moon is here too"
"of course do not worry my friend"
"Me"
"Elizabethujmg si"
"Elizabethujmg place "
"Me"
"I to"
"Me"
"I this song "
"Me"
"Everyday"
"Me"
"Me"
"Mee"
"me"
"listining this while playing gta "
""
"Dieses Lied bringt mich zum Weinen"
"plqza mu Coldpay mu mu Avicii mu A Sky Full Of Stars"
"Yeah boi"
"Yup"
""
""
"Ya"
"here"
"Yeh I am here"
"ME"
"asdfgasdfg"
"eu aceito"
"Same to u"
"Hello"
"Your welcome"
"Hi"
"Cuz u people smell bad"
"jityou recist"
"jitI do not why you hate india"
"Brother I never hated my Country I am just saying that why we are not able to create such excuse me beautiful videos and content of India You have wrong thinking about my comments please I want to see a beautiful India"
"Still stuck in soon Hoping to escape this time loop"
"Hey I am from India registered trademark"
NA
"Thanks for Likes"
"Yes bro"
"Yup"
""
"Me too"
"Me too"
"same bro"
""
"In May "
"mu"
"Weirdo"
"Yes mi"
"I am from India by the way"
""
""
""
"Here"
"yes"
"Yes"
"Yeahh"
""
"Nicaa"
"argentina"
"Wish you find your happiness soon"
"change dp please"
"your pfp"
"They spent a long time looking for something that was not covered in filth"
"I guess you are not from India"
"Iam from india but i do not like indian cultures"
"theshadow why"
"theshadow learn to respect your culture first if u wanna love your country"
"I love my India"
"But wut about you "
"I like your photo profile"
"bhai dp to mast he tera"
"Dp pe papa ki photo h lagi h aapke apni lagao"
"Sametheshadow"
"theshadow because u are ktva mulla"
NA
"rragamestarbro because he is a Muslim Simple"
"Bro Pfp"
"theshadow nobody cares"
"shantiprakashbihani fg"
"shantiprakashbihani I do"
"Me"
"Hey Me too"
""
"me"
"Me"
"Yes"
"me"
"Yo I thought that I was the only one"
"Yas"
"Hey Mee"
"Here"
" here"
""
"Here from "
"Me hello "
" here this byson rib dialed into hz gets crazy broadband on g money represent whoot whoot"
"Me"
"Yes indian are nice and beauty the food also nice"
"niazahmadmohamadzubir but not safe for womans"
"thanks All wold iam registered trademark"
"Your most welcome"
"You are Always welcome"
"U r a Trinidadian like me"
NA
"Always welcome"
"You are welcome buddy"
"Welcome"
"Welcome Brother"
"Welcome bro"
"May shuru to hone de agaya likes lene"
"bilalmomin i dont speak your stinky language"
""
"In english please"
NA
"Me here"
""
"Why the heck"
"Aku Bukan Indonesia tapi Malaysia"
"no"
"April"
"Me"
"copyright copyright "
"In may"
"OwenClaudy hr"
" here from Trinidad and Tobago"
"Me"
"Here"
"Me"
"Yeah"
"Me"
"Brasil aqui"
"It is "
"Yes it is "
"Westbengal"
"cent cent"
"Same"
NA
"Me"
"We are in April"
NA
"I literally love this song"
"So true"
"m hm"
"You know what I am listening to this just hours before my th semester college exams it is am here mu "
"Me"
NA
""
""
"Thanks"
"Yes sir"
"Bro shut up"
"I am here"
"Esse excuse me o comentario mais recente que achei not applicable verdade nem tinha visto que excuse me um video de anos"
""
""
""
"May You com from futur "
"Claiming my future spot"
"What do you mean Duffer"
"come watch"
"I gave your th like Watch it again coz this never gets old"
"deeprobhattacharyya sure"
"Time to watch for the th time"
" th time please"
"userrrxupio I will definitely"
"userrrxupioI will definitely"
"npc"
"bhai ye aadmi naak se gaata hai"
"biggest mistake"
"Welcome and I wish you to visit South India"
"Same"
"Yes sir"
""
"Me bro"
"I love this song love from Texas"
"Me"
"Me"
"Bhai"
"Here"
"Yah"
"Me man"
"Get over it yall am not special"
"registered trademark registered trademark registered trademark registered trademark registered trademark"
"Me"
"im indian bingalingalingling"
"ayy"
"Mai"
"I am indian"
"Delhi"
"I am"
""
"I am bangaladeshi"
"registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark"
"rd baby"
"Me"
"Me"
"For real"
"Vera level"
"Precisely"
"I am here"
"Now"
"Me"
"Me"
""
""
"May"
"Yep"
"Me"
"May"
" mu "
"Eu"
"Csgd copyright dhfw"
"Im here"
"Yes"
"Yup"
"Yes"
" april"
"April"
"Yes sir"
"boomerangseiko as well"
"Yas"
"Holaa"
"May"
"I am"
""
"Me"
"Proud to be indian"
"Well it is north is beautiful"
"Me"
"Tera baap"
"Watching from Florida"
"Does this song have copyright"
"I m from "
""
"You all destroyed Bangladesh copyright my country"
""
""
""
"crap missed it by days but i was probebly listening to this on that day"
"COMPULSORY"
"Hello"
"ME"
"Moi"
"Mi"
"Ferindapafan"
"Me"
"registered trademark registered trademark registered trademark"
"Me"
"Im India"
"bas kar gandu koi award nahi de rha baat baat pe Indian indian karne se mai bhi proud indian hun but ye bakchodi se koi ijjat nahi mil rhi apan logon ko"
"Moye moye"
"I AM"
"Me"
"Everyone"
"I am"
"Me"
"Yes"
"Me"
"Me"
"I m"
"No im a filipino"
"Yes registered trademark"
"May still we are in april "
"Here"
"aeybeec"
"We here next year until we are not here anymore"
NA
"Same"
""
"Yuh"
"April"
"it is not even may yet"
"Bhai advanced date ka post keu Aj th April date hain"
"It is April"
"But I am here"
"Oczywiscie"
"Bro one month earlier than earth"
"Me"
"Me"
"No"
"Here bro"
"aeybeecrwoosh"
"not me"
"Present"
"I feel sad for you and same"
"GKNilesh sorry dear"
"Aisa nahi hai swami ji yaha bharat ka culture dikhane ki koshish ki gayi hai"
"Aapko kuch galat dikha isme "
"Jaatboy registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark registered trademark "
"Yes"
"I am from "
"Until "
"What we all dead by then"
""
"I am here"
""
"I am from "
"Yes bruh"
"I am from AD"
" "
"No I am from "
"Aane to de "
"I am from "
""
"Sorry I come from registered trademark"
"india"
"This song is insulting song"
"sufiyanratnani"
"RONYISLIVE what it is insulting india do not you whant to say anything"
"the problem is we indians make cinema for ourselvesthats why we are not able to make world class content"
"late happy birthday"
"This song is insulting india"
"Howsufiyanratnani"
"Shashvatpatil they are comparing Indian culture to England culture and showing that india is hindu country but no india is a secular country they are showing that indias culture is just for fun I will make a roast video on it"
"sufiyanratnani ofc hindustan is major is hindu country they are just highlighting culture nothing else do not you see temple behind"
"I am from future"
"But today is Sunday not Saturday"
"Yes bro"
"Finally find my love"
"I am Eu estou in Brasil"
NA
"I am in india"
"Yeah bro cent"
"Aj aj aj"
"analuizacaetanodafonsecapreco neni dvovod dik"
"Me"
"present"
"Yep"
"Me"
"Yes"
"Cry more"
NA
"Me"
"Me"
"Me"
"Me"
"Me"
"Me"
"Me too"
"Me"
"No one asked bot"
""
"Me"
""
"mu"
"Es correcto somos leyenda despues de tantas cosas y pandemia Bendiciones a todos excelente cancion"
"me"
"Me"
"Yes I am from the future"
"Yo"
NA
"Hey"
"I am here"
"Yea"
"everybody"
"Yes"
"I literally listen to this everyday"
"Me"
NA
"Yuh"
NA
"Bot"
"Yessir"
""
"Hi yo cent"
"Here"
NA
"present"
NA
"even I have made a vlog on Vrindavan and The song has settled in my heart"
"April "
"April"
"April "
"Me registered trademark"
"Me registered trademark"
"copyright Fadi copyright"
"ryball"
"April "
"April am Please reply who is watching it on same date and time in "
"Yes"
"April "
"Here"
"Hey"
"Hi"
"yeah dude"
NA
""
"I am here my friend"
"Yes"
"dharmadeepsinh india registered trademark "
"AmiirZack registered trademark"
"Ya i am"
"AmiirZackBHARAT registered trademark"
"Namaste and hello from India brother"
"Yeah am Indian registered trademark mu registered trademark registered trademark registered trademark registered trademark registered trademark"
"Yo ahora xD"
"Eu"
"meliodas ce nao ta morto gojo"
"Hl bir ora catag"
"Bharat Mata ki Jai registered trademark"
"Nob"
"Love back brother"
"Me"
"Me"
"I am here"
"I do"
"Me"
"As all time "
"Me"
""
"I listen it daily"
"cent"
""
"lm here"
"l listen this song every day l advise every one to listend this song"
"Me"
"Im here"
"how did you know"
"I am here"
"I am here"
"April th to be exact"
"I dream"
"here"
"Me"
"Yup bro"
"how did I just randomly see your comment And no it is the second of April When I commented on this it was minutes ago"
"Yes"
"what is goodie"
"same"
"me"
""
"Me"
"Jassimfoxy wow"
"If alive will be listening in as well"
"No He is not"
""
"Yes April "
"Eu"
"Yap"
NA
"Aqui"
"copyright"
"Us"
"Eu"
"Yes bro"
"I am"
"En janvier fevrier mars avril toute lannee"
"Jadore cette chanson et le chanteur"
"Me"
"stop tryna get attention"
"Ye"
"Yeah"
"Sure"
"Yes why"
" years cent cent"
"Yeah"
"Nas Daily you are useless"
"Here"
NA
"Me"
"I liked you"
"Your coment"
NA
"Me"
""
"Yah me"
"Me"
"Me"
"I am"
"Me"
"April th "
"Me"
"Me"
""
"Me present sirm"
"Me present sir"
"Me"
"Me"
"say what now"
"Yes"
"Here"
"Ss bro here in April "
"Yep th"
NA
"Me too brother"
"Me"
"Here"
"Yes"
"Me"
"Me"
"Me"
" april"
"Here iam"
"Here"
"Yes bro"
"Germany legalized Marihuana in April that is why I am here"
"Yes"
"Present"
"We Here Brother"
"Me"
"Ofc"
"Yes"
"I hate these kinds of comments"
"I am"
"Oh yes"
"Of course"
"Yes bro"
"Can hear this song forever "
""
NA
""
"Wassup"
"NapoleonMaradona"
"True"
NA
"Yep"
"Yep"
"GorrilaVR"
"Present"
""
"Me"
"Yeap"
"Me"
"Yup"
"How can forget this song"
"Yeah Broo I am A Indian But This Song Is Emotion"
"Here"
"Me"
"Present"
"Me"
"Yeap from India"
"Yo"
"Yes"
"Sure"
"Yes"
""
"Me"
"Coldplay was my brothers fave band I listen to this song in his memory"
""
"Yo bro"
"Its india"
" now"
"now "
" min"
"it is not April yet"
"IsaacDTrujillo hehe sorry bro"
"Hdhdbdgdbs"
"Hdhdgdgddmsj"
"Hdhdhdbdgdgd"
"Hello Love"
"Yes"
"am not it crazy"
"exactly they use guns or money or alcoholic substance to show up in their music videos "
"Just like other indian industries like Kollywood Tollywood Sandalwood Mollywood "
"Sara bakchod gyan tum yahi pel lo hutiyo kyoki sara cultur to is gane me dikhaya hai"
"userfotzsqybro sandalwood"
"userfotzsqy but still sout industry atleast try to show our culture still"
"Htt mccsavagecomedians"
"Why only Bollywood u south agenda king"
"savagecomediansno they do not they only make faltu"
"Simm"
""
"Yes"
"Yes"
"Yeap match Sunday night"
"Yur"
"yea"
"usertgfxzfk "
"Yaa"
"abril"
"I am in April "
"Just missed April nd"
"Hi from april"
"Hello mu"
"evertonsousa hey"
"Yup"
"April "
"April"
"yes"
"Yes brow"
""
"Malaysia"
"Uzbekistan"
"India"
"Me "
"What"
