"topic","term","beta"
6,"dedicated",0.00265272884227459
1,"deep",3.65372377715309e-192
2,"deep",0.00106272090598136
3,"deep",1.30046662215039e-193
4,"deep",1.39190684827781e-52
5,"deep",6.86625015273104e-193
6,"deep",2.52161824542238e-189
1,"definitivamente",1.13825615691197e-176
2,"definitivamente",7.83871463840811e-181
3,"definitivamente",1.31223295014902e-181
4,"definitivamente",0.00119020179423761
5,"definitivamente",1.60029057619864e-176
6,"definitivamente",1.59577748176935e-174
1,"dejado",3.15931619135903e-176
2,"dejado",0.00106272090598136
3,"dejado",9.18067077478269e-180
4,"dejado",1.03329705044413e-171
5,"dejado",9.54268742888662e-176
6,"dejado",4.21443381018333e-173
1,"del",0.0080054434262509
2,"del",1.89531003580001e-173
3,"del",2.21380075471766e-24
4,"del",8.23720038725055e-63
5,"del",9.66974315420785e-171
6,"del",1.56103497742141e-167
1,"dele",1.76370749597414e-207
2,"dele",5.63636769720651e-209
3,"dele",9.3810907042577e-62
4,"dele",0.00119020179423761
5,"dele",1.3341369932079e-206
6,"dele",3.33703152822079e-203
1,"delete",1.12622016629113e-36
2,"delete",2.96527504055859e-176
3,"delete",9.65511564199772e-178
4,"delete",1.11667832929535e-170
5,"delete",2.41580834563794e-173
6,"delete",0.00132636517530188
1,"delhi",9.13197152553338e-252
2,"delhi",3.04893987051353e-255
3,"delhi",8.00802091856718e-257
4,"delhi",0.00119020179423761
5,"delhi",2.0783378825351e-253
6,"delhi",8.88193376309422e-250
1,"delivery",1.49488228313494e-183
2,"delivery",4.39726957901304e-186
3,"delivery",6.35675036323485e-186
4,"delivery",0.00119020179423761
5,"delivery",6.53306533285876e-179
6,"delivery",4.01097197182832e-180
1,"delusional",2.08015706679297e-203
2,"delusional",4.13004224126908e-206
3,"delusional",3.87891498931358e-207
4,"delusional",6.53815274442919e-205
5,"delusional",0.00110071387508795
6,"delusional",7.62504895564649e-200
1,"demais",1.64188700435393e-169
2,"demais",5.55687242806474e-174
3,"demais",0.000887327989521247
4,"demais",5.11013700985109e-172
5,"demais",2.23021045315827e-171
6,"demais",2.60519419164685e-169
1,"demonios",5.63352157474064e-180
2,"demonios",8.38888643820625e-182
3,"demonios",0.000887327989521247
4,"demonios",1.78665146645217e-180
5,"demonios",1.71670487683012e-181
6,"demonios",2.34214431569126e-177
1,"demostracao",7.35890293116026e-211
2,"demostracao",2.52928971707857e-214
3,"demostracao",9.76103934036814e-196
4,"demostracao",0.00119020179423761
5,"demostracao",7.46009869751326e-211
6,"demostracao",4.30935081969084e-208
1,"depois",7.66494326127342e-209
2,"depois",3.50701279981564e-211
3,"depois",0.000887327989521247
4,"depois",8.72713965019073e-209
5,"depois",8.80922240567498e-209
6,"depois",5.06141453057408e-206
1,"depression",0.00114363487504566
2,"depression",0.00106272081318014
3,"depression",1.31266358701922e-68
4,"depression",4.41385153975131e-65
5,"depression",6.2165326516963e-193
6,"depression",3.55092577259392e-50
1,"descubriendo",0.0011436347751787
2,"descubriendo",1.47238180138357e-174
3,"descubriendo",1.47480877384228e-35
4,"descubriendo",3.35388383252618e-170
5,"descubriendo",1.18901649418893e-170
6,"descubriendo",8.25538693817742e-168
1,"desde",4.51190116669851e-173
2,"desde",1.20735439633653e-174
3,"desde",0.000887327989521247
4,"desde",1.24109967806945e-173
5,"desde",1.10688204067552e-173
6,"desde",3.20456256493521e-170
1,"deserves",0.0034309043255361
2,"deserves",1.14298776512519e-21
3,"deserves",1.35837184286296e-54
4,"deserves",4.38012272899356e-50
5,"deserves",1.44690156113239e-47
6,"deserves",1.31697030064328e-160
1,"desgracia",3.74851832398084e-195
2,"desgracia",2.39777917623363e-198
3,"desgracia",9.45772573709866e-198
4,"desgracia",5.85235330285108e-195
5,"desgracia",0.00220142775017591
6,"desgracia",1.81491762256639e-192
1,"desmalvinado",0.0011436347751787
2,"desmalvinado",4.77174427997574e-163
3,"desmalvinado",7.09030289124348e-165
4,"desmalvinado",1.8114948363426e-160
5,"desmalvinado",1.92315877318215e-160
6,"desmalvinado",8.00663156556424e-159
1,"desnudos",1.47095000100331e-176
2,"desnudos",0.00106272090598136
3,"desnudos",4.84731952705334e-180
4,"desnudos",2.81424678528529e-176
5,"desnudos",4.06051521384563e-176
6,"desnudos",8.40930035179943e-173
1,"desperta",1.02642345194355e-208
2,"desperta",1.7848625220617e-210
3,"desperta",0.000887327989521247
4,"desperta",5.87546250529585e-209
5,"desperta",5.65582812822853e-210
6,"desperta",9.20738536648437e-206
1,"despues",0.0011436347751787
2,"despues",7.56834777981218e-201
3,"despues",4.36317499073791e-203
4,"despues",7.59136167888556e-200
5,"despues",4.23227305349046e-199
6,"despues",7.69430179634611e-198
1,"dessa",6.24604905571899e-178
2,"dessa",1.34373145470284e-186
3,"dessa",3.62859449824473e-54
4,"dessa",0.00238040358847522
5,"dessa",5.45942737534175e-184
6,"dessa",1.00667869208396e-180
1,"desse",1.28246131725774e-186
2,"desse",2.59471056003165e-210
3,"desse",4.1549710493432e-208
4,"desse",0.00119020179423761
5,"desse",1.64357279201619e-207
6,"desse",3.2674614613405e-205
1,"destexado",8.4451422332972e-169
2,"destexado",0.00106272090598136
3,"destexado",1.63860377582149e-172
4,"destexado",1.02643791431452e-167
5,"destexado",6.18192331201652e-168
6,"destexado",6.84627890904763e-165
1,"destripando",9.9651298586159e-186
2,"destripando",5.73413932075453e-189
3,"destripando",0.000887327989521247
4,"destripando",1.62096986342544e-185
5,"destripando",2.94276017212162e-187
6,"destripando",5.75975049925409e-184
1,"destroy",1.03599445321368e-217
2,"destroy",4.47506204952662e-220
3,"destroy",2.5424401468759e-222
4,"destroy",0.00119020179423761
5,"destroy",4.42651302388513e-58
6,"destroy",3.76086976942794e-57
1,"detail",3.55801931037817e-185
2,"detail",0.00106272090598136
3,"detail",3.10103917817891e-206
4,"detail",5.05130370542612e-203
5,"detail",4.28945343854293e-202
6,"detail",7.92468976715186e-167
1,"dezembro",7.55655988913785e-166
2,"dezembro",3.25921896922901e-171
3,"dezembro",0.000887327989521247
4,"dezembro",1.55625822865568e-165
5,"dezembro",8.80199647704925e-167
6,"dezembro",2.65703966749365e-163
1,"dharam",1.85891509268012e-193
2,"dharam",0.00106272090598136
3,"dharam",6.54351333379271e-194
4,"dharam",7.18354274070123e-54
5,"dharam",1.52166508938904e-192
6,"dharam",3.09442513582049e-189
1,"dia",0.00114363470386886
2,"dia",2.87757658700822e-195
3,"dia",8.02377342778225e-196
4,"dia",3.65066549479673e-191
5,"dia",0.00110071394372152
6,"dia",9.78069930830215e-189
1,"diamantes",6.9785695171138e-259
2,"diamantes",6.16168243474173e-262
3,"diamantes",0.000887327989521247
4,"diamantes",6.59225623144781e-258
5,"diamantes",4.65609160044738e-259
6,"diamantes",1.34431988790657e-254
1,"diamonds",3.85306418800392e-229
2,"diamonds",9.20706485390652e-232
3,"diamonds",2.6115405312104e-232
4,"diamonds",2.93895035463546e-229
5,"diamonds",6.8409818028902e-230
6,"diamonds",0.00928455622711315
1,"dice",9.4353040238972e-191
2,"dice",2.03885712112262e-193
3,"dice",3.98830218950136e-195
4,"dice",1.21206096399872e-192
5,"dice",0.00220142775017591
6,"dice",8.39688627814632e-189
1,"dicen",0.0022872695503574
2,"dicen",2.70214672811718e-187
3,"dicen",3.24560055874896e-56
4,"dicen",4.96030238030751e-193
5,"dicen",8.22123569813138e-194
6,"dicen",1.00366287094189e-191
1,"dices",3.61457082985201e-197
2,"dices",1.17648081789153e-199
3,"dices",0.000887327989521247
4,"dices",8.87247946966652e-196
5,"dices",4.23110726522844e-195
6,"dices",4.63938368906921e-193
1,"diciendo",5.7830625372756e-169
2,"diciendo",0.00106272090598136
3,"diciendo",2.32331219183757e-172
4,"diciendo",1.98443401656198e-168
5,"diciendo",2.37435651157339e-169
6,"diciendo",3.86146487083234e-166
1,"died",4.04766640495281e-197
2,"died",3.29473204842272e-198
3,"died",5.60492787247915e-200
4,"died",8.17273225055327e-24
5,"died",2.37500808009744e-197
6,"died",0.00397909552590564
1,"difference",3.07445961341152e-156
2,"difference",1.26053937875363e-158
3,"difference",8.33910981172626e-148
4,"difference",0.00119020179423761
5,"difference",8.34422569592594e-157
6,"difference",7.14895862891769e-153
1,"digan",8.29261515199918e-168
2,"digan",0.00106272090598136
3,"digan",1.45224279620813e-172
4,"digan",3.146967608463e-168
5,"digan",5.18911414132084e-168
6,"digan",9.473523273825e-165
1,"dije",1.13629407841821e-260
2,"dije",8.01726999015269e-264
3,"dije",0.000887327989521247
4,"dije",1.88024285843453e-258
5,"dije",9.00161145391324e-260
6,"dije",4.69736540240122e-256
1,"dijiste",1.13095914070355e-23
2,"dijiste",6.9715519141046e-165
3,"dijiste",8.13631919052899e-165
4,"dijiste",0.00119020179423761
5,"dijiste",2.95911864733741e-162
6,"dijiste",2.19979219725507e-158
1,"dijo",2.49979826435703e-260
2,"dijo",3.98495302140051e-262
3,"dijo",0.000887327989521247
4,"dijo",2.59609749353235e-259
5,"dijo",1.146221761873e-259
6,"dijo",3.34660275922546e-255
1,"dio",2.58279027130246e-197
2,"dio",4.65256808661444e-200
3,"dio",0.000887327989521247
4,"dio",5.82989761156478e-196
5,"dio",1.13377038304592e-194
6,"dio",6.41556450429949e-194
1,"dios",0.00114363472397478
2,"dios",1.29759695156592e-174
3,"dios",7.83425996442125e-26
4,"dios",0.00119020184752648
5,"dios",1.38495343987763e-172
6,"dios",2.09767022642373e-169
1,"diploma",1.48915152729481e-43
2,"diploma",6.33829445232973e-182
3,"diploma",0.000887327989521247
4,"diploma",3.58849440532083e-181
5,"diploma",7.83795285046607e-169
6,"diploma",1.00057358471943e-178
1,"dirty",3.47464730908911e-220
2,"dirty",2.88889390888325e-220
3,"dirty",1.27960354203765e-221
4,"dirty",0.00119020179423761
5,"dirty",2.92522591345651e-58
6,"dirty",5.08494689787887e-57
1,"discovered",1.59464265095847e-178
2,"discovered",0.00106272090598136
3,"discovered",7.42603885775329e-183
4,"discovered",3.77634069401026e-78
5,"discovered",1.13233507922887e-174
6,"discovered",1.37106196498003e-174
1,"disrespect",1.19608397261607e-193
2,"disrespect",6.19125864189861e-197
3,"disrespect",5.36618357184772e-199
4,"disrespect",1.17812656981213e-192
5,"disrespect",0.00110071387508795
6,"disrespect",8.79146815692953e-191
1,"distance",1.43197649556089e-205
2,"distance",1.22523393745944e-207
3,"distance",3.61288705686013e-210
4,"distance",3.20398935962177e-49
5,"distance",0.00110071387508795
6,"distance",7.39211019580697e-205
1,"disto",1.35679778544066e-212
2,"disto",3.1433878807437e-216
3,"disto",0.000887327989521247
4,"disto",4.53949727191102e-213
5,"disto",3.23545466911919e-213
6,"disto",1.3778843476422e-210
1,"distory",2.4131735625311e-192
2,"distory",0.00106272090598136
3,"distory",1.23826992827044e-193
4,"distory",3.44573822713084e-53
5,"distory",1.53226974047278e-192
6,"distory",2.87336101994704e-189
1,"distraction",3.44476338355323e-250
2,"distraction",2.97482514938192e-253
3,"distraction",2.03443356556432e-255
4,"distraction",4.38769655924984e-251
5,"distraction",0.00110071387508795
6,"distraction",3.34456581606072e-237
1,"disturb",0.0011436347751787
2,"disturb",1.2188379086234e-213
3,"disturb",7.33377297542191e-214
4,"disturb",5.17509257858141e-209
5,"disturb",6.66853408344513e-210
6,"disturb",1.02384831773426e-69
1,"diversity",1.00836930913258e-44
2,"diversity",5.05183513701259e-185
3,"diversity",9.55786465534564e-188
4,"diversity",0.00119020179423761
5,"diversity",1.31182056885654e-184
6,"diversity",6.20480766846768e-181
1,"dizer",1.20907703453369e-201
2,"dizer",2.23043363067599e-203
3,"dizer",0.000887327989521247
4,"dizer",1.94854218658994e-200
5,"dizer",1.91299601290866e-201
6,"dizer",2.75353707131802e-199
1,"djfluffy",1.3952064510254e-170
2,"djfluffy",1.48685489712474e-173
3,"djfluffy",6.63475394100918e-175
4,"djfluffy",8.6060195876143e-169
5,"djfluffy",0.00110071387508795
6,"djfluffy",5.1062280435933e-168
1,"documentary",8.04211370482619e-213
2,"documentary",0.00106272090598136
3,"documentary",1.96941388396956e-215
4,"documentary",1.3931722791222e-208
5,"documentary",5.90140063358165e-206
6,"documentary",4.82774335594413e-209
1,"doesnt",1.65882791316217e-178
2,"doesnt",5.23330619599229e-180
3,"doesnt",3.86347074695899e-182
4,"doesnt",0.00119020179423761
5,"doesnt",1.04555265997189e-44
6,"doesnt",2.5513104368937e-175
1,"dog",1.17996385943315e-48
2,"dog",0.00106272084140256
3,"dog",0.000887328043441877
4,"dog",7.24005629128798e-195
5,"dog",9.65619040380815e-196
6,"dog",3.60925750842046e-193
1,"dogs",2.99396002920089e-129
2,"dogs",1.92518160209362e-82
3,"dogs",0.00177465597904249
4,"dogs",1.00734453909356e-193
5,"dogs",2.59324356816491e-118
6,"dogs",6.96388881386115e-194
1,"dominicano",2.51725108609506e-156
2,"dominicano",0.00106272090598136
3,"dominicano",2.97943568517867e-161
4,"dominicano",4.30641392776139e-154
5,"dominicano",1.82423384383983e-157
6,"dominicano",4.00576007418051e-153
1,"donate",1.33147560659425e-190
2,"donate",0.00106272090598136
3,"donate",3.17489503789428e-57
4,"donate",2.94578035575736e-186
5,"donate",1.06589545180194e-189
6,"donate",2.10406567435152e-186
1,"donkey",4.2235242075874e-222
2,"donkey",3.64041449725446e-223
3,"donkey",2.55237567924281e-225
4,"donkey",0.00119020179423761
5,"donkey",7.35279523604706e-222
6,"donkey",3.83086882782867e-218
1,"doritos",2.61010194824149e-178
2,"doritos",1.92060323371754e-43
3,"doritos",0.000887327989521247
4,"doritos",1.78525389081279e-177
5,"doritos",4.0422560951994e-176
6,"doritos",9.66050794178014e-175
1,"dos",3.10873310521563e-182
2,"dos",4.47537976410955e-186
3,"dos",1.6115495917309e-185
4,"dos",1.77399484938862e-182
5,"dos",0.00110071387508795
6,"dos",1.95644152282525e-180
1,"dots",5.11569726303412e-187
2,"dots",3.51189049113212e-190
3,"dots",2.40667289319696e-190
4,"dots",1.33239304213054e-186
5,"dots",2.633429710914e-186
6,"dots",0.00132636517530188
1,"dragon",0.0011436347751787
2,"dragon",5.02757093650208e-26
3,"dragon",3.81025095323548e-165
4,"dragon",1.56756321309867e-160
5,"dragon",2.64318221837186e-25
6,"dragon",2.57599678887434e-158
1,"dream",2.12656212863909e-53
2,"dream",2.02772141510947e-218
3,"dream",4.90090657058612e-89
4,"dream",8.74595760319782e-215
5,"dream",7.5404428753254e-216
6,"dream",0.0252009383307357
1,"dreamed",8.5588156041036e-268
2,"dreamed",8.37054912804405e-270
3,"dreamed",1.15135211747005e-271
4,"dreamed",3.15238558243104e-268
5,"dreamed",5.15884186079694e-267
6,"dreamed",0.00530546070120752
1,"dreams",1.39144295208034e-183
2,"dreams",0.00212544181196272
3,"dreams",1.75158196984274e-187
4,"dreams",1.53484586835847e-166
5,"dreams",9.5729337831048e-183
6,"dreams",1.54075659283639e-180
1,"dressing",1.1427270043988e-177
2,"dressing",1.01370999627772e-180
3,"dressing",1.31881578588377e-42
4,"dressing",9.2115688204756e-178
5,"dressing",0.00110071387508795
6,"dressing",2.73137752311894e-175
1,"drifted",6.24800196881661e-198
2,"drifted",0.00106272090598136
3,"drifted",5.01654247529714e-201
4,"drifted",2.46535536114324e-199
5,"drifted",3.95319201714014e-197
6,"drifted",3.17012404540201e-180
1,"drogas",2.17852771013986e-176
2,"drogas",0.00106272090598136
3,"drogas",1.04748264813412e-179
4,"drogas",5.36252047304294e-176
5,"drogas",7.31614630752628e-176
6,"drogas",1.50154877810479e-173
1,"dropped",1.76693323135255e-109
2,"dropped",8.48382074508334e-92
3,"dropped",0.000887327989521247
4,"dropped",5.1173608298648e-118
5,"dropped",1.79460624727581e-184
6,"dropped",2.34035821560406e-180
1,"drove",1.9874841136349e-215
2,"drove",6.7331430713381e-217
3,"drove",1.591535008778e-219
4,"drove",8.42948521297599e-215
5,"drove",0.00110071387508795
6,"drove",5.93291424826249e-213
1,"drugs",1.53152095068246e-62
2,"drugs",0.00302851776286081
3,"drugs",1.37279289574383e-160
4,"drugs",0.00374940087917071
5,"drugs",6.22240871666644e-158
6,"drugs",9.59393571375564e-36
1,"drunk",1.56449104641731e-179
2,"drunk",2.59165947185311e-45
3,"drunk",0.000887327989521247
4,"drunk",4.78020413004786e-179
5,"drunk",9.92411068453741e-178
6,"drunk",2.97897197334414e-177
1,"dua",8.21704945689158e-202
2,"dua",2.57079264657707e-204
3,"dua",5.91107595044724e-193
4,"dua",1.19955557750142e-201
5,"dua",0.00110071387508795
6,"dua",1.15144102689757e-195
1,"dude",0.0011436347751787
2,"dude",1.06875736145101e-25
3,"dude",6.80617319415182e-164
4,"dude",7.29939008410083e-160
5,"dude",2.60481368402302e-159
6,"dude",8.88971017926444e-157
1,"due",2.19946510450612e-220
2,"due",5.65683823624745e-223
3,"due",7.19808163531947e-226
4,"due",4.82665447309081e-69
5,"due",0.00220142775017591
6,"due",3.7070074689453e-215
1,"duele",1.03879742443675e-171
2,"duele",7.66067217904233e-176
3,"duele",0.00177465597904249
4,"duele",1.31032769422206e-173
5,"duele",1.45480331778128e-175
6,"duele",6.00024439223236e-173
1,"dulu",1.39515785655425e-209
2,"dulu",4.00727224462258e-215
3,"dulu",1.01547321747324e-216
4,"dulu",7.29216445261824e-212
5,"dulu",0.00110071387508795
6,"dulu",5.13629405165866e-210
1,"dust",0.0011436347751787
2,"dust",4.73890678620167e-174
3,"dust",1.60380003457636e-175
4,"dust",4.97328172424601e-172
5,"dust",9.64760852052223e-172
6,"dust",1.00312330600538e-60
1,"dutch",1.18782570786582e-213
2,"dutch",0.00106272090598136
3,"dutch",7.65939075601117e-217
4,"dutch",1.91140648092742e-209
5,"dutch",1.51382254951699e-207
6,"dutch",1.1603701253212e-210
1,"dyimg",2.14996543372958e-128
2,"dyimg",6.60667046716891e-83
3,"dyimg",0.000887327989521247
4,"dyimg",1.05566869068122e-193
5,"dyimg",1.119790129626e-117
6,"dyimg",2.03588189204752e-192
1,"earn",0.0011436347751787
2,"earn",5.47566321182254e-220
3,"earn",3.1351371475447e-222
4,"earn",7.20289216626854e-70
5,"earn",1.78037500267149e-217
6,"earn",1.09928122599536e-217
1,"earth",1.80239977438177e-60
2,"earth",2.57621787953486e-180
3,"earth",1.3282532680912e-180
4,"earth",0.00238040358847522
5,"earth",4.70562685138785e-177
6,"earth",1.41933241917927e-173
1,"eating",1.25322483617625e-179
2,"eating",1.59890820867364e-45
3,"eating",0.000887327989521247
4,"eating",7.23834547324581e-179
5,"eating",3.09623024773927e-179
6,"eating",6.79295265768466e-176
1,"echo",1.1815163269948e-187
2,"echo",2.31574031519321e-190
3,"echo",0.000887327989521247
4,"echo",1.16119208374058e-188
5,"echo",7.84432337210618e-189
6,"echo",1.41820054520972e-186
1,"ecomoda",0.0011436347751787
2,"ecomoda",1.31049465441913e-173
3,"ecomoda",2.51695823919038e-77
4,"ecomoda",1.54835979244592e-170
5,"ecomoda",1.40941164181636e-171
6,"ecomoda",4.78746825232947e-168
1,"edison",4.34466759864754e-174
2,"edison",6.86828164566139e-179
3,"edison",0.000887327989521247
4,"edison",2.90300492225622e-177
5,"edison",1.77757955116284e-179
6,"edison",4.66786446407985e-175
1,"edits",3.78265156111178e-24
2,"edits",0.00106272090598136
3,"edits",2.68761467450359e-194
4,"edits",3.52525076933028e-190
5,"edits",4.39815577300418e-182
6,"edits",1.49422230375092e-187
1,"ediyorum",2.2002372552668e-192
2,"ediyorum",0.00106272090598136
3,"ediyorum",2.29211944485625e-196
4,"ediyorum",3.8725472559655e-192
5,"ediyorum",4.57239150721086e-193
6,"ediyorum",5.25280040451991e-189
1,"eduardooewnargensimio",0.0011436347751787
2,"eduardooewnargensimio",4.8597808030938e-163
3,"eduardooewnargensimio",4.72701321407562e-166
4,"eduardooewnargensimio",5.35885286906546e-161
5,"eduardooewnargensimio",2.05235456623994e-160
6,"eduardooewnargensimio",1.0907111071342e-158
1,"egypt",6.6675419225319e-184
2,"egypt",1.66262546812528e-185
3,"egypt",2.01060319415852e-188
4,"egypt",0.00119020179423761
5,"egypt",6.43200613569378e-184
6,"egypt",1.99582874879457e-180
1,"eixst",1.05290357076484e-50
2,"eixst",3.28353027333633e-188
3,"eixst",1.36298086373648e-188
4,"eixst",0.00119020179423761
5,"eixst",7.87802334993353e-186
6,"eixst",4.06200702880621e-184
1,"ejobyabahindukirira",2.12507067979571e-211
2,"ejobyabahindukirira",4.13959687441607e-214
3,"ejobyabahindukirira",2.52241517556769e-214
4,"ejobyabahindukirira",3.09843915603975e-210
5,"ejobyabahindukirira",0.00110071387508795
6,"ejobyabahindukirira",2.54782338184061e-208
1,"electronica",0.0011436347751787
2,"electronica",1.08410750752597e-174
3,"electronica",1.22560617417352e-35
4,"electronica",5.92269754819549e-170
5,"electronica",6.15832391824422e-171
6,"electronica",1.60616214471895e-167
1,"elefante",0.00127766164877834
2,"elefante",1.42122680278298e-162
3,"elefante",0.00255799465407792
4,"elefante",1.54952263955194e-159
5,"elefante",1.09519689671901e-159
6,"elefante",2.39620346790926e-157
1,"elefantes",0.0011436341463298
2,"elefantes",5.51985470147325e-175
3,"elefantes",1.27305619654374e-40
4,"elefantes",0.00119020244869226
5,"elefantes",2.27021818676725e-171
6,"elefantes",3.2699399526294e-169
1,"elements",1.66541808915306e-42
2,"elements",3.16817180068953e-106
3,"elements",1.96823860439712e-184
4,"elements",9.28833617945145e-180
5,"elements",0.00110071387508795
6,"elements",1.93432315517206e-176
1,"elepahant",4.61537775891379e-170
2,"elepahant",0.00106272090598136
3,"elepahant",4.57461344439325e-176
4,"elepahant",9.82873079474716e-111
5,"elepahant",9.50581861028656e-172
6,"elepahant",6.89274483609716e-169
1,"elephant",1.30446759100927e-28
2,"elephant",0.0159408135897204
3,"elephant",5.20590993409091e-18
4,"elephant",1.52034676699105e-152
5,"elephant",1.42169681687099e-109
6,"elephant",8.28515031665084e-59
1,"elephants",1.29186002823965e-138
2,"elephants",3.65454878503456e-06
3,"elephants",1.52296673637012e-36
4,"elephants",0.00475671423919361
5,"elephants",1.65712736212535e-62
6,"elephants",4.22127532515309e-154
1,"eles",1.66229266064979e-144
2,"eles",2.24763204255854e-146
3,"eles",1.11181584250248e-147
4,"eles",4.94925012444159e-144
5,"eles",1.17604650634679e-144
6,"eles",0.00132636517530188
1,"ella",2.31347849749198e-259
2,"ella",4.41499711605541e-262
3,"ella",0.000887327989521247
4,"ella",2.08328548530095e-259
5,"ella",2.10942960235642e-259
6,"ella",4.409081409465e-255
1,"ellos",1.0233265390729e-185
2,"ellos",1.89135899935784e-189
3,"ellos",0.000887327989521247
4,"ellos",8.47265090956025e-187
5,"ellos",5.27448316419711e-186
6,"ellos",1.42243229396862e-183
1,"emocoes",7.59710201843223e-209
2,"emocoes",9.27098674695061e-210
3,"emocoes",0.000887327989521247
4,"emocoes",2.82684639167329e-209
5,"emocoes",1.23260112778605e-208
6,"emocoes",4.38948509167034e-206
1,"emosnal",2.21975216064166e-182
2,"emosnal",2.10130102630024e-27
3,"emosnal",2.04739612878613e-186
4,"emosnal",0.00119020179423761
5,"emosnal",3.02441182633867e-181
6,"emosnal",8.57747662126886e-179
1,"emotinal",1.34642438741615e-167
2,"emotinal",0.00106272090598136
3,"emotinal",4.14594027438966e-171
4,"emotinal",2.93119933026944e-167
5,"emotinal",7.75497126560436e-30
6,"emotinal",1.28694548298647e-163
1,"emotional",0.0011436347751787
2,"emotional",7.19352050163842e-20
3,"emotional",2.34306323637468e-163
4,"emotional",7.90124587682504e-158
5,"emotional",6.66376243877376e-32
6,"emotional",2.57588824774505e-156
1,"empiecen",0.0011436347751787
2,"empiecen",4.62340287454584e-187
3,"empiecen",3.69069014569557e-47
4,"empiecen",9.169010508051e-184
5,"empiecen",2.15249511921999e-184
6,"empiecen",1.53103070397633e-181
1,"empieza",0.0011436347751787
2,"empieza",1.8479668455129e-186
3,"empieza",2.41580194143324e-49
4,"empieza",4.21727748762282e-184
5,"empieza",5.27508009217072e-186
6,"empieza",6.18518052748249e-183
1,"empiezen",0.0011436347751787
2,"empiezen",8.48569488217656e-203
3,"empiezen",2.67924784793247e-201
4,"empiezen",1.16023314928833e-198
5,"empiezen",1.20421107515179e-199
6,"empiezen",1.02307020261092e-197
1,"emptied",9.89098069348633e-222
2,"emptied",5.00982450097932e-223
3,"emptied",3.41238798086191e-225
4,"emptied",0.00238040358847522
5,"emptied",2.66242336516705e-221
6,"emptied",6.49211778308669e-218
1,"encanta",0.0034309043255361
2,"encanta",6.03720502534835e-157
3,"encanta",6.60345299618738e-158
4,"encanta",1.03259374981633e-152
5,"encanta",2.52880820173663e-153
6,"encanta",1.32931004035479e-150
1,"encontraste",3.91988253322356e-168
2,"encontraste",0.00106272090598136
3,"encontraste",5.34790642782996e-21
4,"encontraste",1.07525139563455e-167
5,"encontraste",7.24164876771084e-168
6,"encontraste",8.42847784717215e-166
1,"encontre",0.00114363533172434
2,"encontre",0.00106272038881215
3,"encontre",3.70736744986414e-44
4,"encontre",1.03305007465909e-157
5,"encontre",6.22233705470849e-165
6,"encontre",4.02693882017985e-161
1,"encontro",2.65930051799916e-173
2,"encontro",1.076426252978e-87
3,"encontro",0.000887327989521247
4,"encontro",6.21266440561861e-173
5,"encontro",3.27541693530512e-35
6,"encontro",1.19894067603636e-170
1,"end",1.10905462688468e-53
2,"end",2.30225861113592e-39
3,"end",8.13514563057717e-157
4,"end",2.11288881890198e-153
5,"end",0.00550356937543977
6,"end",1.85178462508036e-151
1,"ending",6.30649502488922e-171
2,"ending",1.7040342910146e-174
3,"ending",4.37216749157346e-38
4,"ending",2.21106740069111e-170
5,"ending",0.00110071387508795
6,"ending",1.25553620936625e-28
1,"enemies",3.43667283932184e-218
2,"enemies",1.04150853529413e-220
3,"enemies",3.47079458003571e-223
4,"enemies",4.15136537571012e-213
5,"enemies",0.00110071387508795
6,"enemies",2.39511467568206e-215
1,"enjoy",0.0011436347751787
2,"enjoy",1.81359398066401e-197
3,"enjoy",1.73936607089329e-200
4,"enjoy",4.04672739573328e-181
5,"enjoy",2.18394689238401e-35
6,"enjoy",2.42672142169802e-37
1,"enjoying",1.04419643708517e-168
2,"enjoying",2.98772622345555e-169
3,"enjoying",2.13640715865646e-171
4,"enjoying",0.00119020179423761
5,"enjoying",8.60351764570853e-164
6,"enjoying",1.19853270238116e-164
1,"enquanto",3.25284760854427e-185
2,"enquanto",2.80577716354547e-188
3,"enquanto",0.000887327989521247
4,"enquanto",7.83114676057905e-185
5,"enquanto",2.02923771138513e-184
6,"enquanto",2.3765727770055e-182
1,"entered",7.47491523848623e-176
2,"entered",1.03088106813107e-177
3,"entered",2.74222883339442e-180
4,"entered",2.61838478384778e-176
5,"entered",0.00110071387508795
6,"entered",2.28445364964547e-173
1,"entire",6.05519730012337e-211
2,"entire",1.69820182457274e-57
3,"entire",1.48836316122499e-216
4,"entire",0.00119020179423761
5,"entire",1.49982591407967e-210
6,"entire",2.5217539519446e-207
1,"entonces",1.01270835697776e-191
2,"entonces",3.43528670773336e-194
3,"entonces",2.4769778367547e-194
4,"entonces",5.65229414700451e-191
5,"entonces",0.00110071387508795
6,"entonces",3.58064783274241e-187
1,"epica",0.0011436347751787
2,"epica",2.70818740098602e-207
3,"epica",4.54620861459291e-204
4,"epica",1.53423344359472e-204
5,"epica",1.84590173114652e-204
6,"epica",2.70022840379987e-201
1,"epicalized",8.72016344556512e-196
2,"epicalized",3.62379636822924e-39
3,"epicalized",3.02204582433211e-198
4,"epicalized",1.06400199156329e-193
5,"epicalized",0.00110071387508795
6,"epicalized",3.64231324787265e-192
1,"epico",0.0011436347751787
2,"epico",8.04862236875026e-198
3,"epico",9.452875782357e-198
4,"epico",2.01678912165639e-193
5,"epico",8.45787153281036e-189
6,"epico",2.062583151061e-191
