"topic","term","beta"
5,"ago",0.00739201972995928
6,"ago",2.52471328969287e-54
1,"agradeca",1.41357980995778e-229
2,"agradeca",1.56218341186497e-231
3,"agradeca",0.000887327989521247
4,"agradeca",2.28695588678524e-229
5,"agradeca",3.45156124671601e-230
6,"agradeca",1.12951746932446e-226
1,"agree",4.89946926280518e-174
2,"agree",0.00106272090598136
3,"agree",2.5397313808156e-184
4,"agree",6.59190267850558e-180
5,"agree",2.03704237911205e-181
6,"agree",1.00199576494603e-177
1,"ahead",7.45722604500068e-205
2,"ahead",1.55339062430665e-207
3,"ahead",6.40117293484882e-210
4,"ahead",7.57162182728378e-49
5,"ahead",0.00110071387508795
6,"ahead",5.44284796373825e-203
1,"ahh",1.00783720707429e-157
2,"ahh",0.00106272090598136
3,"ahh",4.22155760221452e-162
4,"ahh",3.85374413994489e-157
5,"ahh",5.75257178205615e-22
6,"ahh",1.85823783312468e-155
1,"ahi",5.15785716482713e-172
2,"ahi",1.07984403184207e-174
3,"ahi",8.79143181259285e-176
4,"ahi",1.82651746289198e-171
5,"ahi",0.00110071387508795
6,"ahi",2.99243839871951e-169
1,"ahoaia",0.0011436347751787
2,"ahoaia",6.8601893063766e-144
3,"ahoaia",3.23475045112498e-145
4,"ahoaia",2.20124974190246e-140
5,"ahoaia",1.4334142132707e-138
6,"ahoaia",6.75747494375194e-138
1,"ahora",8.96993252731889e-191
2,"ahora",1.74785105570771e-193
3,"ahora",0.00266198396856374
4,"ahora",1.59094180054486e-189
5,"ahora",3.09252711356362e-61
6,"ahora",4.31600782316876e-186
1,"air",0.0011436347751787
2,"air",1.15787804160211e-173
3,"air",1.1183010931972e-175
4,"air",5.61401461897025e-173
5,"air",5.96785941513926e-173
6,"air",4.07143083532533e-61
1,"aisle",2.98550507089809e-167
2,"aisle",1.09781149411736e-171
3,"aisle",1.03238645958841e-171
4,"aisle",7.29261351212898e-166
5,"aisle",0.00110071387508795
6,"aisle",8.2868744277636e-166
1,"aja",2.00173315970207e-177
2,"aja",1.11988764563256e-180
3,"aja",1.06583950207942e-181
4,"aja",3.45380456120427e-177
5,"aja",0.00110071387508795
6,"aja",8.24251257657886e-175
1,"akdjfktkgax",5.34960797717476e-138
2,"akdjfktkgax",0.00106272090598136
3,"akdjfktkgax",2.17181152532384e-142
4,"akdjfktkgax",1.615344925914e-136
5,"akdjfktkgax",1.65308737604531e-138
6,"akdjfktkgax",4.45887015860655e-137
1,"albania",1.10199527120217e-159
2,"albania",2.65395283780553e-163
3,"albania",7.8158944796965e-164
4,"albania",1.12060363962396e-159
5,"albania",0.00110071387508795
6,"albania",4.68427189712234e-157
1,"album",5.59184717693531e-211
2,"album",2.53217535195063e-58
3,"album",2.03165055244247e-215
4,"album",0.00119020179423761
5,"album",2.18849434837168e-211
6,"album",8.35336493812093e-208
1,"alchemizing",6.80852901906591e-141
2,"alchemizing",5.31346342504334e-143
3,"alchemizing",7.44210130496991e-145
4,"alchemizing",5.08029043529617e-140
5,"alchemizing",0.00110071387508795
6,"alchemizing",2.34264445154846e-138
1,"alcohol",1.75348740018146e-173
2,"alcohol",0.00106272090598136
3,"alcohol",4.47050026842839e-175
4,"alcohol",1.57734411416556e-170
5,"alcohol",4.77481517596399e-175
6,"alcohol",1.36866193285228e-170
1,"ale",0.0011436347751787
2,"ale",9.52785984697484e-147
3,"ale",1.11004565587672e-146
4,"ale",9.7991648181634e-144
5,"ale",1.29866091758884e-143
6,"ale",5.54935347757578e-139
1,"algeria",1.38859875446174e-158
2,"algeria",0.00106272090598136
