"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"23","It doesn't matter where you come from Hindustan ,Pakistan Asia or America we are one.","@Addy72777","https://yt3.ggpht.com/nvymycuJNAUpuYrjDpQoC4-K-GRAr51sx5HE7dS2edmmLVewQRuyY9HU8XszWtiu-sHxi5hUDP0=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Addy72777","UCYvmRMkVpL0jNhFPT0jpZnQ","0","1","2024-05-26T19:20:55Z","2024-05-26T19:20:55Z","UgyNGfMQwlFJKz4TBw14AaABAg",NA,"YykjpeuMNEk"
"24","Thanks for representing 🙌 💕 ❤️ 🙏 india 🇮🇳 and it's culture and diversity.","@Addy72777","https://yt3.ggpht.com/nvymycuJNAUpuYrjDpQoC4-K-GRAr51sx5HE7dS2edmmLVewQRuyY9HU8XszWtiu-sHxi5hUDP0=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Addy72777","UCYvmRMkVpL0jNhFPT0jpZnQ","0","6","2024-05-26T19:19:34Z","2024-05-26T19:19:34Z","UgwnF6PJ-pGZQTjIhHh4AaABAg",NA,"YykjpeuMNEk"
"25","It's been 8 years or 8 months?
Still bangs even on May 26 2024","@mbuleloqayiso3452","https://yt3.ggpht.com/ytc/AIdro_kEU9NhIWQAxCrw1qGolpvcMJda-0L_fJDODJKr3CjkJmA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@mbuleloqayiso3452","UCZdJgTOwPr3KTP3bWAXgWKA","0","0","2024-05-26T19:16:35Z","2024-05-26T19:16:35Z","Ugxy0Qd1janCkEgAaRx4AaABAg",NA,"YykjpeuMNEk"
"26","Who is watching  this song  27_6_24","@malikumarbashir4800","https://yt3.ggpht.com/ytc/AIdro_nlnprfmsQHcKfVAXzIVaFY0IZBPvzSgCuRtHsL17l6KNYfMlJExcuh0mZf4C_9dnSVrg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@malikumarbashir4800","UCH19_B43LoA2fRrKYC5J0Ag","1","1","2024-05-26T18:47:12Z","2024-05-26T18:47:12Z","UgwFI7Mukv0b3sPMgp14AaABAg",NA,"YykjpeuMNEk"
"27","Who is here in 2024","@LiuleTadesse-ez2ve","https://yt3.ggpht.com/rleCYje2jV_Sk270zWnVu0jZWciNLVJiVfvxchc3iOnlj_wLuHyETinGWI9Qfp1W-std3jxkqgM=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@LiuleTadesse-ez2ve","UC8ePutAsuLFksYMerjf2oZw","0","2","2024-05-26T18:22:42Z","2024-05-26T18:22:42Z","Ugydjend6EgzM-g0q7x4AaABAg",NA,"YykjpeuMNEk"
"28","Goosebumps❤❤","@SAHILISAF","https://yt3.ggpht.com/ytc/AIdro_l_cdb12iEvfbconWqKW89iqSh69jL-NdmjZIuXCkr9Yg3iLzKFdf8SG32lYrR3AmrM9A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@SAHILISAF","UCwr1pcPWDq8E70bzTjUlisA","0","1","2024-05-26T18:11:49Z","2024-05-26T18:11:49Z","UgzgVNR4YXzg4JSBczh4AaABAg",NA,"YykjpeuMNEk"
"29","This song gives me back summer 2022 joyness","@ThePrieto1000","https://yt3.ggpht.com/KSuh9cuKrHht1LwJQMAyowBTrVRfKOIwVO2vCp7R9jgPqWZGNKUWDw82bQ8YfF8Q9Flf3AB6dQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@ThePrieto1000","UCxUOOB0L7RMU6lky53SUPpw","0","1","2024-05-26T17:19:05Z","2024-05-26T17:19:05Z","UgzvbRNj0pV7QWxQ0jh4AaABAg",NA,"YykjpeuMNEk"
"30","At now also people listings 
The song 😁😄","@CmpxrwYT","https://yt3.ggpht.com/ytc/AIdro_lI5aDxWDIVwQWn2Dun0faVxVMFYeD0rw9iq9KQ0ltN2dR9pCPWY0WuJ6rPOPQusko1-w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@CmpxrwYT","UCC2nlOyXtsxNjH1QEZf7Kdg","0","1","2024-05-26T17:10:38Z","2024-05-26T17:10:38Z","UgwlIhfGCDxumB9R_uF4AaABAg",NA,"YykjpeuMNEk"
"31","This song is 8 yrs old u cant belive it","@Nicholas-bd4mq","https://yt3.ggpht.com/ytc/AIdro_nv8CUIQDdwQReKARt8EO2hJzLBVG6vYlndMtqrPLAbhErysRDW9CwEbhllNhAXVn-3gQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Nicholas-bd4mq","UCMALicYlqB_BCskIiFOtAYQ","1","1","2024-05-26T16:44:12Z","2024-05-26T16:44:12Z","UgybZO0o-H5eai3oagN4AaABAg",NA,"YykjpeuMNEk"
"32","Больше 2 миллиардов просмотров каааак?","@user-wu6mm4km6l","https://yt3.ggpht.com/ytc/AIdro_mypEh2bkPi7W2Tw6lnpH85P6JQzQwASgc9HANYjFdIvbeDRv5yeW8t5TVUQEEvuRdZ_Ew=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-wu6mm4km6l","UC3PG4qjLDnDRgkYRl9mbnAw","0","1","2024-05-26T16:28:02Z","2024-05-26T16:28:02Z","UgyaVR2jZp2Q-JZNT0p4AaABAg",NA,"YykjpeuMNEk"
