"left","right","n"
"western","women",1
"whant","to",1
"what","day",1
"what","do",1
"what","india",1
"what","it",1
"what","now",1
"what","should",1
"what","we",1
"whatever","you",1
"when","the",1
"where","people",1
"where","they",1
"which","has",1
"which","place",1
"which","you",1
"while","a",1
"while","playing",1
"white","guy",1
"who","is",1
"who","tf",1
"whole","india",1
"whoot","whoot",1
"why","i",1
"why","no",1
"why","only",1
"why","the",1
"why","you",1
"will","expect",1
"will","go",1
"will","make",1
"will","show",1
"winner","oppenheimer",1
"wish","if",1
"with","this",1
"wold","iam",1
"women","are",1
"world","by",1
"world","class",1
"world","has",1
"worry","my",1
"worshippers","as",1
"wow","i",1
"write","comments",1
"wrong","bro",1
"wrong","thinking",1
"wut","about",1
"y","a",1
"y","pandemia",1
"y","sintiendome",1
"ya","i",1
"yadaf","sharma",1
"yah","me",1
"yaha","bharat",1
"yahi","pel",1
"yall","am",1
"ye","aadmi",1
"ye","bakchodi",1
"ye","song",1
"yeah","am",1
"yeah","boi",1
"yeah","bro",1
"yeah","broo",1
"yeah","dude",1
"yeah","me",1
"yeah","still",1
"yeah","wsg",1
"yeap","from",1
"yeap","match",1
"year","is",1
"year","until",1
"years","cent",1
"years","feeling",1
"yeh","i",1
"yeh","puch",1
"yep","th",1
"yes","april",1
"yes","brow",1
"yes","bruh",1
"yes","indian",1
"yes","it",1
"yes","mi",1
"yes","registered",1
"yes","true",1
"yes","turkey",1
"yes","why",1
"yo","ahora",1
"yo","aqui",1
"yo","bro",1
"yo","cent",1
"yo","es",1
"yo","i",1
"yo","secs",1
"you","adopted",1
"you","all",1
"you","believe",1
"you","buffoon",1
"you","can",1
"you","com",1
"you","did",1
"you","find",1
"you","hate",1
"you","have",1
"you","in",1
"you","knoow",1
"you","mean",1
"you","people",1
"you","play",1
"you","see",1
"you","the",1
"you","thousands",1
"you","to",1
"you","whant",1
"your","coment",1
"your","comment",1
"your","country",1
"your","entire",1
"your","father",1
"your","future",1
"your","happiness",1
"your","india",1
"your","literacy",1
"your","mom",1
"your","most",1
"your","name",1
"your","pfp",1
"your","photo",1
"your","stinky",1
"your","th",1
"your","video",1
"your","welcome",1
"your","words",1
"youtube","has",1
"yug","i",1
"yup","bro",1
"zum","weinen",1
