"left","right","n"
"trademark","india",1
"traditional","clothes",1
"traveler","laughing",1
"trinidadian","like",1
"try","to",1
"tryna","get",1
"tum","yahi",1
"turkey","or",1
"u","are",1
"u","call",1
"u","coldplay",1
"u","do",1
"u","must",1
"u","people",1
"u","r",1
"u","stuck",1
"u","then",1
"u","wanna",1
"uh","huh",1
"uleon","same",1
"um","video",1
"under","britisher",1
"until","we",1
"until","when",1
"up","in",1
"upper","moon",1
"ure","either",1
"urself","with",1
"us","christains",1
"us","racist",1
"use","guns",1
"used","to",1
"userfotzsqy","but",1
"userfotzsqybro","sandalwood",1
"userrrxupio","i",1
"userrrxupioi","will",1
"ustad","karishna",1
"uwu","me",1
"varanasi","as",1
"varanasi","side",1
"varanasi","where",1
"vera","level",1
"verdade","nem",1
"very","nice",1
"very","well",1
"vibes","inesqueciveis",1
"video","and",1
"video","de",1
"video","on",1
"videos","and",1
"visit","south",1
"visto","que",1
"vlog","on",1
"vrindavan","and",1
"walking","in",1
"wanna","love",1
"want","something",1
"want","to",1
"was","minutes",1
"was","my",1
"was","not",1
"was","probebly",1
"was","shooted",1
"was","showed",1
"was","the",1
"was","truemuktadir",1
"watch","for",1
"watch","it",1
"watching","from",1
"watching","it",1
"way","to",1
"we","all",1
"we","indians",1
"we","never",1
"we","say",1
"we","were",1
"week","great",1
"welcome","and",1
"welcome","bro",1
"welcome","brother",1
"welcome","buddy",1
"well","disciplined",1
"well","it",1
"went","though",1
"were","taught",1
"were","under",1
"west","bengal",1
"west","media",1
