"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"1266","Let's see how many people here want to go back to the days this song was viral
👇","@chidieberenwadike4165","https://yt3.ggpht.com/iPzucIkTxEH6mkUjltkZ6PSOW3saUOdh89du-flbWERTlLbcz1DGI3hkiP0uyqu9o4talalaCg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@chidieberenwadike4165","UCUTXwa1lhZ9IFSd_ID5ZoTA","0","1","2024-05-24T22:26:03Z","2024-05-24T22:26:03Z","Ugz1dldCWw9iUnwy0qd4AaABAg",NA,"Io0fBr1XBUA"
"1267","May 2024. Anyone?","@Envenenar_Ivy","https://yt3.ggpht.com/ytc/AIdro_mymR-MbSZiXcxemf76BWkS2_J1h-FgBePsVD9r7FjOXZDjU4qX1ONi8S2eqHfN6i8s0w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Envenenar_Ivy","UCDUMSu_pSgcxqwQI0OW7gUQ","0","0","2024-05-24T21:53:28Z","2024-05-24T21:53:28Z","Ugwb_115nyKFZZIivXF4AaABAg",NA,"Io0fBr1XBUA"
"1268","I need i need you🙏🏼💔","@Angiexxmclakai","https://yt3.ggpht.com/2J5QcMAxwieSe3C2EEctzVXG8CC2R7NoIG6ZeZ2nEJHLNrnvTT3-ZSmNpr8d76jDL-JM6PlftQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Angiexxmclakai","UCQPoZE7JIYfsp5O3xPy2LlA","0","0","2024-05-24T21:30:10Z","2024-05-24T21:30:10Z","UgzN0wuJfICrOQrD27h4AaABAg",NA,"Io0fBr1XBUA"
"1269","NELLA KHARISMA...!!!! Don Let Me Don Darling Ngehong","@jordanrafael2423","https://yt3.ggpht.com/ytc/AIdro_kGe3Ye8uhtqfjQCqyabuRXVLP2HvWeej_40fC3t2T452rd=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@jordanrafael2423","UCM85HFwOwIxMzuf1TeFU89A","0","0","2024-05-24T19:15:22Z","2024-05-24T19:15:22Z","UgxmnQxO4dP8YWInd614AaABAg",NA,"Io0fBr1XBUA"
"1270","Lo mejor daya desde santa Marta Colombia","@brandocampo1703","https://yt3.ggpht.com/ytc/AIdro_kVCC1KTu2HvNmegfF78PZJWIW8JxoqBdUETkA2wK0CwpI=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@brandocampo1703","UCTna-9_nyBQp8Fv3kKrrGBA","0","0","2024-05-24T19:15:20Z","2024-05-24T19:15:20Z","Ugyg9lsXyvFz-dRba6Z4AaABAg",NA,"Io0fBr1XBUA"
"1271","Kesini gara gara darling ngehong~ wkwk","@luludeer1381","https://yt3.ggpht.com/ytc/AIdro_m0FPpNUTa4mKP2EdgsHpCgJzSgBIRICLt7GfN_ljg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@luludeer1381","UC3Q8BESLEYwDw7C-GDv_SEg","0","0","2024-05-24T15:28:27Z","2024-05-24T15:28:27Z","Ugw10seKwOr0zznbYIF4AaABAg",NA,"Io0fBr1XBUA"
"1272","Nella Kharisma Darling ngehong","@NCTV77","https://yt3.ggpht.com/ytc/AIdro_nm_63rPx80kH6k8a4jL_qAIuKEB9zxyvdC3AYlG3grj7A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@NCTV77","UCdqYZg0RgweJruoXm_TJVGw","0","0","2024-05-24T14:48:04Z","2024-05-24T14:48:04Z","UgxmrvhDdUXgBVWpTYR4AaABAg",NA,"Io0fBr1XBUA"
"1273","Nella Kharisma brought me here","@greyvermont441","https://yt3.ggpht.com/jdb2Cp5xCJGuMsC3dLJeJzjHuFC_TDGbUGXVn_V4Jcc67xer83ptitUOtEKcQrLM6Sb4Lc4mwA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@greyvermont441","UCZOQclf4nL5n8z76LdcW9NA","0","0","2024-05-24T14:38:55Z","2024-05-24T14:38:55Z","UgyuVr7xw5Wag60CKCx4AaABAg",NA,"Io0fBr1XBUA"
"1274","Love this song and video ✌️❤️🎵🎼🎶😊","@user-lo1zx4nm6h","https://yt3.ggpht.com/ytc/AIdro_ktf9w-_Y-Ykk2WaCOrvRvto-DqwRfZrCwkWm-etOgO-lhcHcpTYkUtyPAuK6d42C4TAw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-lo1zx4nm6h","UC-X7CQ8E6B3OeCE-CLKpldA","0","1","2024-05-24T14:10:52Z","2024-05-24T14:10:52Z","Ugx4uYgHYG44Wr0ERqZ4AaABAg",NA,"Io0fBr1XBUA"
"1275","kesini gara2 darling ngehong 😂","@user-rz3ge5xb8e","https://yt3.ggpht.com/ytc/AIdro_n2udBzeYBteVO94AOvACDKqyHN4sBTqV2YenVzO3Y2Ic5h7sd9c1UhQi-g7V9kvb_L3A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-rz3ge5xb8e","UCkc9M7fiOd1J9JhwoEO6TwQ","0","0","2024-05-24T13:38:08Z","2024-05-24T13:38:08Z","UgyrS-5_hpPHJS6FUBR4AaABAg",NA,"Io0fBr1XBUA"
